seq,kind,plan_name,law,article,edition,period,cycle,ministry,confidence,has_doc,doc_file,doc_size,doc_note,remark,source_url,note,display,order
85,본번,사방사업 기본계획,「사방사업법」,제3조의2제1항,,,5년,산림청,미확인,TRUE,/plans/사방사업 기본계획.pdf,43079319,,,,,TRUE,87
86,본번,사회보장에 관한 기본계획,「사회보장기본법」,제16조제1항,제3차,2024~2028,5년,보건복지부,확인,TRUE,/plans/사회보장에 관한 기본계획_제3차.pdf,2208094,,,https://www.mohw.go.kr/board.es?mid=a10401000000&bid=0008&act=view&list_no=1481747,2023.12.19 국무회의,TRUE,88
87,본번,산림기본계획,「산림기본법」,제11조제1항,제6차,2018~2037,20년,산림청,확인,TRUE,/plans/산림기본계획_제6차.pdf,21689779,,,https://www.forest.go.kr/kfsweb/kfi/kfs/cms/cmsView.do?mn=NKFS_02_13_01&cmsId=FC_000388,"2018년 수립분의 변경계획. 10년 주기, 20년 계획",TRUE,89
88,본번,산림유전자원보호구역 관리기본계획,「산림보호법」,제10조의3제1항,제3차,2023~2027,5년,산림청,확인,FALSE,,,,,https://www.asiae.co.kr/article/2023080210135078354,"2023.8.2 발표, 5년 주기",TRUE,90
89,본번,산림복원 기본계획,「산림자원의 조성 및 관리에 관한 법률」,제42조의3제1항,제1차,2020~2029,10년,산림청,확인,TRUE,/plans/산림복원 기본계획_제1차.pdf,5832087,,,https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do?nttId=3141484,10년 주기,TRUE,91
90,본번,산업교육 및 산학연협력 기본계획,「산업교육진흥 및 산학연협력촉진에 관한 법률」,제5조제1항,제2차,2024~2028,5년,교육부,확인,TRUE,/plans/산업교육 및 산학연협력 기본계획_제2차.pdf,2963242,,,https://www.khrd.co.kr/m/view.php?idx=+5054752,2024.1 수립,TRUE,92
91,본번,지속가능경영 종합시책,「산업발전법」,제19조제1항,차수없음,2026~2030,5년,산업통상자원부,확인,TRUE,/plans/지속가능경영 종합시책.pdf,1036184,,차수를 붙이지 않는 계획,https://motir.go.kr/kor/article/ATCL3f49a5a8c/171631/view,지속가능경영 종합시책,TRUE,93
92,본번,산업재해 예방에 관한 기본계획,「산업안전보건법」,제7조제1항,,,미확인,고용노동부,미확인,TRUE,/plans/산업재해 예방에 관한 기본계획.pdf,782342,,법령에 수립주기 규정 없음,,산재예방 5개년 계획. 현행 차수 확인 못함,TRUE,94
93,본번,산업융합발전 기본계획,「산업융합 촉진법」,제5조제1항,제2차,2019~2023,5년,산업통상자원부,참고,TRUE,/plans/산업융합발전 기본계획_제2차.pdf,1042080,,계획기간 만료(2023년) — 후속 차수 미확인,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000180002,산업부고시 2019-103. 제3차 확인 못함,TRUE,95
94,본번,산업집적활성화 기본계획,「산업집적활성화 및 공장설립에 관한 법률」,제3조제1항,제5차,,5년,산업통상자원부,확인,FALSE,,,,,https://www.motir.go.kr/kor/article/ATCLf724eb567/211745/view,산업부 고시 2025-004(2025.1.24). 계획기간 미확인,TRUE,96
95,본번,산지관리기본계획,「산지관리법」,제3조의2제1항,제2차,2018~2027,10년,산림청,확인,FALSE,,,,,https://www.kfca.re.kr/sub010402,2018.12 수립. 10년 주기,TRUE,97
96,본번,생명공학육성기본계획,「생명공학육성법」,제5조제2항,제4차,2023~2032,5년,과학기술정보통신부,확인,FALSE,,,,,https://gerc.kr/bbs/board.php?bo_table=m02_02&wr_id=22,2023.6.7 생명공학종합정책심의회 확정,TRUE,98
97,본번,생명연구자원 관리 기본계획,「생명연구자원의 확보ㆍ관리 및 활용에 관한 법률」,제7조제1항,제4차,2026~2030,5년,과학기술정보통신부,확인,TRUE,/plans/생명연구자원 관리 기본계획_제4차.pdf,4999658,,,https://www.pacst.go.kr/jsp/council/councilArchiveView.jsp?archive_id=1414,2025.12.30 국가과학기술자문회의 의결,TRUE,99
98,본번,소재ㆍ부품ㆍ장비산업 경쟁력강화 기본계획,「소재ㆍ부품ㆍ장비산업 경쟁력 강화 및 공급망 안정화를 위한 특별조치법」,제5조제1항,제2차,2026~2030,미확인,산업통상자원부,확인,TRUE,/plans/소재ㆍ부품ㆍ장비산업 경쟁력강화 기본계획_제2차.pdf,40505036,,법령에 수립주기 규정 없음,https://www.motir.go.kr/kor/article/ATCL0c554f816/64944/view,2025.10.23 소부장경쟁력위 의결,TRUE,100
99,본번,수도권정비계획,「수도권정비계획법」,제4조제1항,제4차,2021~2040,미확인,국토교통부,확인,TRUE,/plans/수도권정비계획_제4차.pdf,30942578,,수립 후 5년마다 타당성 검토 규정 · 법령에 수립주기 규정 없음,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95084993,국토부고시 2020-1119,TRUE,101
100,본번,국가수도기본계획,「수도법」,제4조제1항,차수없음,2022~2031,10년,환경부,확인,TRUE,/plans/국가수도기본계획.pdf,301760,,차수를 붙이지 않는 계획,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156529059,2021.10.5 고시. 전국수도종합계획+수도정비기본계획 통합,TRUE,102
101,본번,수도정비계획,「수도법」,제5조제1항,,,10년,시장·군수,해당없음,FALSE,,,,국가계획이 아니라 지자체가 개별 수립,,수도법상 일반수도사업자(지자체) 수립,TRUE,103
102,본번,수산물 유통발전 기본계획,「수산물 유통의 관리 및 지원에 관한 법률」,제5조제1항,제1차,2018~2022,5년,해양수산부,참고,TRUE,/plans/수산물 유통발전 기본계획_제1차.pdf,2541623,,계획기간 만료(2022년) — 후속 차수 미확인,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=36333,제2차 확인 못함,TRUE,104
103,본번,수산부산물 재활용 기본계획,「수산부산물 재활용 촉진에 관한 법률」,제5조제1항,제1차,2023~2027,5년,해양수산부,확인,TRUE,/plans/수산부산물 재활용 기본계획_제1차.pdf,185626,,,https://www.korea.kr/briefing/stateCouncilView.do?newsId=156547554,,TRUE,105
104,본번,수산업ㆍ어촌 발전 기본계획,「수산업ㆍ어촌 발전 기본법」,제7조제1항,제3차,2026~2030,5년,해양수산부,확인,TRUE,/plans/수산업ㆍ어촌 발전 기본계획_제3차.pdf,292852,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156742051,2026.1.29 발표,TRUE,106
105,본번,수산자원관리기본계획,「수산자원관리법」,제7조제1항,제4차,2026~2030,5년,해양수산부,확인,TRUE,/plans/수산자원관리기본계획_제4차.hwpx,503887,,,https://www.korea.kr/news/policyNewsView.do?newsId=148960377,,TRUE,107
106,본번,수난대비기본계획,「수상에서의 수색ㆍ구조 등에 관한 법률」,제4조제1항,,,5년,해양경찰청,미확인,FALSE,,,,,,,TRUE,108
107,본번,수소경제 이행 기본계획,「수소경제 육성 및 수소 안전관리에 관한 법률」,제5조제1항,제1차,2021~,미확인,산업통상자원부,확인,TRUE,/plans/수소경제 이행 기본계획_제1차.pdf,104827948,,법령에 수립주기 규정 없음 · 후속 계획 미수립,https://www.opm.go.kr,2021.11.26 제4차 수소경제위원회 발표. 계획기간 표기 없음. 제2차 미수립,TRUE,109
108,본번,수자원장기종합계획,「수자원의 조사ㆍ계획 및 관리에 관한 법률」,제17조제1항,제4차,2001~2020,20년,환경부,참고,TRUE,/plans/수자원장기종합계획_제4차.pdf,1038871,,계획기간 만료(2020년) — 후속 차수 미확인 · 수립 후 5년마다 타당성 검토 규정,https://me.go.kr/home/web/board/read.do?boardId=869610,제3차 수정계획(2016~2020)까지 반영. 물관리기본법 체제로 전환 - 하천유역수자원관리계획이 대체,TRUE,110
109,본번,하천유역수자원관리계획,「수자원의 조사ㆍ계획 및 관리에 관한 법률」,제18조제1항,제1차,,10년,환경부,확인,FALSE,,,,수립 후 5년마다 타당성 검토 규정,https://www.hankyung.com/article/2024112644851,한강·낙동강·금강·영산강·섬진강 5대권역. 2024.11 국가수자원관리위 의결,TRUE,111
110,본번,신ㆍ재생에너지의 기술개발 및 이용ㆍ보급을 촉진하기 위한 기본계획,「신에너지 및 재생에너지 개발ㆍ이용ㆍ보급 촉진법」,제5조제1항,제5차,2020~2034,5년,산업통상자원부,확인,TRUE,/plans/신ㆍ재생에너지의 기술개발 및 이용ㆍ보급을 촉진하기 위한 기본계획_제5차.pdf,711358,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156429610,,TRUE,112
111,본번,실내공기질 관리에 필요한 기본계획,「실내공기질 관리법」,제4조의3제1항,제5차,2025~2029,5년,환경부,확인,TRUE,/plans/실내공기질 관리에 필요한 기본계획_제5차.pdf,679631,,,https://epts.kdi.re.kr/polcTmsesSrvc/them?SEARCH_CTE_SEQ=78551,2024.11.25 제9차 사회관계장관회의 발표,TRUE,113
112,본번,습지보전기본계획,「습지보전법」,제5조제1항,제4차,2023~2027,5년,환경부,확인,TRUE,/plans/습지보전기본계획_제4차.pdf,21875902,,,https://epts.kdi.re.kr/share?cte_seq=74685&dvs=them,2022.12.29 공개,TRUE,114
113,본번,아동정책기본계획,「아동복지법」,제7조제1항,제3차,2025~2029,5년,보건복지부,확인,TRUE,/plans/아동정책기본계획_제3차.pdf,1388058,,,https://www.mohw.go.kr/board.es?mid=a10401000000&bid=0008&act=view&list_no=1488418,,TRUE,115
114,본번,빈곤아동의 복지ㆍ교육ㆍ문화 등 지원에 관한 기본계획,「아동의 빈곤예방 및 지원 등에 관한 법률」,제6조제1항,,,5년,보건복지부,미확인,TRUE,/plans/빈곤아동의 복지ㆍ교육ㆍ문화 등 지원에 관한 기본계획.pdf,2420659,,,,아동빈곤예방법 제6조. 5년 주기,TRUE,116
115,본번,아이돌봄 지원을 위한 기본계획,「아이돌봄 지원법」,제4조의2제1항,제1차,2023~2026,5년,여성가족부,참고,TRUE,/plans/아이돌봄 지원을 위한 기본계획_제1차.pdf,164765,,,https://www.mogef.go.kr/sp/fam/sp_fam_f005.do,아이돌봄지원법상 건강가정기본계획에 포함 가능 - 독립 차수 표기 불명확,TRUE,117
116,본번,야생동물 질병관리 기본계획,「야생생물 보호 및 관리에 관한 법률」,제34조의3제1항,제2차,2021~2025,5년,환경부,확인,TRUE,/plans/야생동물 질병관리 기본계획_제2차.pdf,1790427,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156428520,제3차 여부 재확인 필요,TRUE,118
117,본번,야생생물 보호 기본계획,「야생생물 보호 및 관리에 관한 법률」,제5조제1항,제4차,2021~2025,5년,환경부,확인,TRUE,/plans/야생생물 보호 기본계획_제4차.pdf,1462543,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.me.go.kr/home/web/policy_data/read.do?menuId=10259&seq=7625,2020.12.28 확정. 제5차 여부 재확인 필요,TRUE,119
118,본번,양성평등정책 기본계획,「양성평등기본법」,제7조제1항,제3차,2023~2027,5년,여성가족부,확인,TRUE,/plans/양성평등정책 기본계획_제3차.pdf,276922,,,https://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704946,,TRUE,120
119,본번,양식산업발전기본계획,「양식산업발전법」,제6조제1항,제5차,2024~2028,5년,해양수산부,확인,TRUE,/plans/양식산업발전기본계획_제5차.pdf,1491885,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=54783,,TRUE,121
120,본번,어장관리 기본계획,「어장관리법」,제3조제1항,제4차,2022~2026,5년,해양수산부,확인,TRUE,/plans/어장관리 기본계획_제4차.pdf,1595863,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=45561,어장관리 기본계획,TRUE,122
121,본번,어촌ㆍ어항발전기본계획,「어촌ㆍ어항법」,제4조제1항,제4차,2026~2035,10년,해양수산부,확인,TRUE,/plans/어촌ㆍ어항발전기본계획_제4차.pdf,93864609,,수립 후 5년마다 타당성 검토 규정,https://epts.kdi.re.kr/share?cte_seq=81984&dvs=them,2025.12.24 제8회 국가정책조정회의 확정. 10년 주기,TRUE,123
122,본번,에너지기술개발계획,「에너지법」,제11조제1항,제5차,2024~2033,5년,산업통상자원부,확인,TRUE,/plans/에너지기술개발계획_제5차.pdf,1076985,,,https://www.korea.kr/news/policyNewsView.do?newsId=148937651,2024.12 국가과학기술자문회의 확정,TRUE,124
123,본번,에너지이용 합리화에 관한 기본계획,「에너지이용 합리화법」,제4조제1항,제7차,2025~2029,5년,기후에너지환경부,확인,TRUE,/plans/에너지이용 합리화에 관한 기본계획_제7차.pdf,923442,,,https://epts.kdi.re.kr/share?cte_seq=81602&dvs=them,2025.11.5 제36차 에너지위원회 의결,TRUE,125
124,본번,여성의 경제활동 촉진과 경력단절 예방에 관한 기본계획,「여성의 경제활동 촉진과 경력단절 예방법」,제5조제1항,제4차,2025~2029,5년,여성가족부,확인,TRUE,/plans/여성의 경제활동 촉진과 경력단절 예방에 관한 기본계획_제4차.pdf,918516,,,https://www.mogef.go.kr,여성경제활동 촉진과 경력단절 예방 기본계획,TRUE,126
125,본번,여성폭력방지 및 피해자 보호ㆍ지원정책 기본계획,「여성폭력방지기본법」,제7조제1항,제2차,2025~2029,5년,여성가족부,확인,FALSE,,,,,https://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc504&bbtSn=704443,여성폭력방지정책 기본계획,TRUE,127
126,본번,역사문화권 정비기본계획,「역사문화권 정비 등에 관한 특별법」,제9조제1항,제1차,2022~2026,5년,국가유산청,확인,TRUE,/plans/역사문화권 정비기본계획_제1차.pdf,2402217,,,https://www.cha.go.kr/gosi/selectGosiView.do?id=1420,,TRUE,128
127,본번,연안정비기본계획,「연안관리법」,제21조제1항,제3차,2020~2029,10년,해양수산부,확인,TRUE,/plans/연안정비기본계획_제3차.pdf,3645113,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=32554,"2020.6.3 고시, 2025.12 변경 고시",TRUE,129
128,본번,연안사고 예방 기본계획,「연안사고 예방에 관한 법률」,제5조제1항,,,5년,해양경찰청,미확인,TRUE,/plans/연안사고 예방 기본계획.pdf,4514067,,,,,TRUE,130
129,본번,수변구역관리기본계획,「영산강ㆍ섬진강수계 물관리 및 주민지원 등에 관한 법률」,제4조의2제1항,,,5년,환경부,미확인,FALSE,,,,동일 명칭 계획이 수계별로 존재,,영산강·섬진강수계. 5년 주기,TRUE,131
130,본번,보육계획,「영유아보육법」,제11조제1항,제4차,2023~2027,5년,보건복지부,확인,TRUE,/plans/보육계획_제4차.pdf,2802375,,,https://www.mohw.go.kr/board.es?mid=a10107010100&bid=0040&act=view&list_no=376853,중장기 보육 기본계획,TRUE,132
131,본번,배출권거래제 기본계획,「온실가스 배출권의 할당 및 거래에 관한 법률」,제4조제1항,제4차,2026~2035,5년,환경부,확인,TRUE,/plans/배출권거래제 기본계획_제4차.pdf,394906,,,https://me.go.kr/m/mob/board/read.do?boardId=1819080,2024.12 확정. 10년 계획,TRUE,133
132,본번,우주개발진흥 기본계획,「우주개발 진흥법」,제5조제1항,제4차,2023~2027,5년,우주항공청,확인,TRUE,/plans/우주개발진흥 기본계획_제4차.pdf,11583084,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000046077,2025.11 국가우주위원회 수정계획 확정,TRUE,134
133,본번,유아교육발전기본계획,「유아교육법」,제3조의2제1항,제3차,2023~2027,5년,교육부,확인,TRUE,/plans/유아교육발전기본계획_제3차.pdf,1853569,,,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=312&boardSeq=94625,,TRUE,135
134,본번,유전자변형생물체 안전관리계획,「유전자변형생물체의 국가간 이동 등에 관한 법률」,제7조제1항,제4차,2023~2027,5년,산업통상자원부,확인,TRUE,/plans/유전자변형생물체 안전관리계획_제4차.pdf,3123300,,,https://event-us.kr/kbch/event/63533,농식품부·식약처·환경부 등 공동,TRUE,136
135,본번,응급의료기본계획,「응급의료에 관한 법률」,제13조의2제1항,제4차,2023~2027,5년,보건복지부,확인,TRUE,/plans/응급의료기본계획_제4차.pdf,741062,,,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156558324,2023.3.21 발표,TRUE,137
136,본번,인적자원개발기본계획,「인적자원개발 기본법」,제5조제1항,,,5년,교육부,미확인,FALSE,,,,,,,TRUE,138
137,본번,인체적용제품의 위해성평가에 관한 기본계획,「인체적용제품의 위해성평가에 관한 법률」,제6조제1항,제1차,2023~2027,5년,식품의약품안전처,확인,TRUE,/plans/인체적용제품의 위해성평가에 관한 기본계획_제1차.pdf,730384,,,https://www.mfds.go.kr/wpge/m_1122/de010703l0001.do,유해물질 52종 통합위해성평가,TRUE,139
138,본번,자동차관련서비스산업복합단지 개발에 관한 국가 기본계획,「자동차관리법」,제68조의9제1항,,,5년,국토교통부,미확인,FALSE,,,,,,자동차관리법상 자동차서비스복합단지 국가 기본계획,TRUE,140
139,본번,자살예방기본계획,「자살예방 및 생명존중문화 조성을 위한 법률」,제7조제1항,제5차,2023~2027,5년,보건복지부,확인,TRUE,/plans/자살예방기본계획_제5차.pdf,277719,,,https://www.korea.kr/briefing/stateCouncilView.do?newsId=156562783,,TRUE,141
140,본번,공원기본계획,「자연공원법」,제11조제1항,제3차,2023~2032,10년,환경부,확인,FALSE,,,,,https://me.go.kr/home/web/board/read.do?boardId=1569300,자연공원기본계획. 10년 주기,TRUE,142
141,본번,자연환경보전기본계획,「자연환경보전법」,제8조제1항,제4차,2026~2035,10년,환경부,참고,FALSE,,,,확정본 미확인,https://kei.re.kr/board.es?act=view&bid=0028&list_no=59024,수립 기초연구 단계 - 확정본 확인 필요,TRUE,143
142,본번,생태ㆍ경관보전지역관리기본계획,「자연환경보전법」,제14조,,,미확인,환경부,미확인,TRUE,/plans/생태ㆍ경관보전지역관리기본계획.pdf,23307503,,법령에 수립주기 규정 없음,,자연환경보전법상 생태·경관보전지역별 수립,TRUE,144
143,본번,순환경제기본계획,「순환경제사회 전환 촉진법」,제10조제1항,제1차,2027~2036,10년,기후에너지환경부,참고,FALSE,,,,,https://news.nate.com/view/20260126n15575,2026 하반기 수립 예정,TRUE,145
144,본번,자율주행 교통물류 기본계획,「자율주행자동차 상용화 촉진 및 지원에 관한 법률」,제4조제1항,제1차,2021~2025,5년,국토교통부,참고,TRUE,/plans/자율주행 교통물류 기본계획_제1차.pdf,10288403,,계획기간 만료(2025년) — 후속 차수 미확인,https://eiec.kdi.re.kr/policy/callDownload.do?num=215476,제2차 확인 못함,TRUE,146
145,본번,잔류성오염물질관리기본계획,「잔류성오염물질 관리법」,제5조제1항,제3차,2021~2025,5년,환경부,확인,FALSE,,,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156433944,제4차 여부 재확인 필요,TRUE,147
146,본번,입주자 삶의 질 향상을 위한 기본계획,「장기공공임대주택 입주자 삶의 질 향상 지원법」,제3조제1항,제2차,,5년,국토교통부,참고,TRUE,/plans/입주자 삶의 질 향상을 위한 기본계획_제2차.pdf,4993871,,,https://www.molit.go.kr,2023.10 발표. 계획기간 표기 미확인,TRUE,148
147,본번,장애인 고용촉진 및 직업재활을 위한 기본계획,「장애인고용촉진 및 직업재활법」,제7조제1항,제6차,2023~2027,5년,고용노동부,확인,TRUE,/plans/장애인 고용촉진 및 직업재활을 위한 기본계획_제6차.pdf,246734,,,https://www.korea.kr/news/policyNewsView.do?newsId=156569436,2023.5.14 발표,TRUE,149
148,본번,국가의 재난 및 안전관리업무에 관한 기본계획,「재난 및 안전관리 기본법」,제22조제1항,제5차,2025~2029,5년,행정안전부,확인,TRUE,/plans/국가의 재난 및 안전관리업무에 관한 기본계획_제5차.pdf,560845,,,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=110478,2024.6.28 중앙안전관리위 확정,TRUE,150
149,본번,재난안전통신망의 구축 및 운영에 관한 기본계획,「재난안전통신망법」,제4조제1항,제1차,2022~2026,5년,행정안전부,확인,TRUE,/plans/재난안전통신망의 구축 및 운영에 관한 기본계획_제1차.pdf,6914256,,,https://www.mois.go.kr/frt/sub/a06/b11/policyBriefingView_4/screen.do,2022.7.6 중앙안전관리위 의결,TRUE,151
150,본번,외국인정책에 관한 기본계획,「재한외국인 처우 기본법」,제5조제1항,제4차,2023~2027,5년,법무부,확인,TRUE,/plans/외국인정책에 관한 기본계획_제4차.pdf,6537954,,,https://www.immigration.go.kr/bbs/immigration/226/578947/artclView.do,2023.12.27 확정,TRUE,152
151,본번,저출산ㆍ고령사회기본계획,「저출산ㆍ고령사회기본법」,제20조제1항,제5차,2026~2030,5년,저출산고령사회위원회,참고,TRUE,/plans/저출산ㆍ고령사회기본계획_제5차.pdf,2836805,,,https://www.betterfuture.go.kr/front/notificationSpace/pressReleaseDetail.do?articleId=474,수립 진행 중. 직전 제4차(2021~2025),TRUE,153
152,본번,전력수급기본계획,「전기사업법」,제25조제1항,제11차,2024~2038,2년,산업통상자원부,확인,TRUE,/plans/전력수급기본계획_제11차.pdf,890733,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156675471,2025.2.21 전력정책심의회 확정. 2년 주기,TRUE,154
153,본번,전기안전관리에 관한 기본계획,「전기안전관리법」,제5조제1항,제1차,2025~2029,5년,기후에너지환경부(구 산업부),확인,FALSE,,,,,https://epts.kdi.re.kr/polcTmsesSrvc/them?SEARCH_CTE_SEQ=82958,,TRUE,155
154,본번,점자발전기본계획,「점자법」,제7조제1항,제2차,2024~2028,5년,문화체육관광부,확인,TRUE,/plans/점자발전기본계획_제2차.pdf,9895419,,,https://www.mcst.go.kr/kor/s_policy/subPolicy/cultureart/cultureart22.jsp,,TRUE,156
155,본번,조경진흥기본계획,「조경진흥법」,제5조제1항,제2차,2022~2026,5년,국토교통부,확인,TRUE,/plans/조경진흥기본계획_제2차.pdf,61527,,,http://ksla.or.kr/uploaded_files/10001/2022/05/제2차조경진흥기본계획(2022-2026).pdf,5년 주기,TRUE,157
156,본번,주거종합계획,「주거기본법」,제5조제1항,제3차,2023~2032,10년,국토교통부,확인,TRUE,/plans/주거종합계획_제3차.pdf,1216093,,수립 후 5년마다 타당성 검토 규정,https://www.korea.kr/news/policyNewsView.do?newsId=148933266,장기 주거종합계획,TRUE,158
157,본번,리모델링 기본계획,「주택법」,제71조제1항,,,10년,시장·군수,해당없음,TRUE,/plans/리모델링 기본계획.pdf,1322871,,국가계획이 아니라 지자체가 개별 수립,,주택법상 지자체 수립,TRUE,159
158,본번,중견기업 성장촉진 기본계획,「중견기업 성장촉진 및 경쟁력 강화에 관한 특별법」,제5조제1항,제2차,2020~2024,5년,산업통상자원부,참고,TRUE,/plans/중견기업 성장촉진 기본계획_제2차.pdf,1307461,,계획기간 만료(2024년) — 후속 차수 미확인,https://eiec.kdi.re.kr/policy/materialView.do?num=197966,제3차 확인 못함,TRUE,160
159,본번,중소기업 인력지원 기본계획,「중소기업 인력지원 특별법」,제5조제1항,,,5년,중소벤처기업부,미확인,FALSE,,,,,https://www.mss.go.kr,5년 주기 종합계획 운영 확인되나 차수·기간 미확인,TRUE,161
160,본번,지능형 로봇의 개발 등의 기본계획,「지능형 로봇 개발 및 보급 촉진법」,제5조제1항,제4차,2024~2028,5년,산업통상자원부,확인,TRUE,/plans/지능형 로봇의 개발 등의 기본계획_제4차.pdf,3719112,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000043368,지능형 로봇 기본계획,TRUE,162
161,본번,지속가능 국가교통물류발전 기본계획,「지속가능 교통물류 발전법」,제7조제1항,제2차,2021~2030,10년,국토교통부,확인,TRUE,/plans/지속가능 국가교통물류발전 기본계획_제2차.pdf,2554438,,,https://www.codil.or.kr/filebank/original/RK/OTKCRK230534/OTKCRK230534.pdf,지속가능 국가교통물류발전 기본계획,TRUE,163
162,본번,기반시설 관리에 관한 기본계획,「지속가능한 기반시설 관리 기본법」,제8조제1항,제1차,2020~2025,5년,국토교통부,확인,TRUE,/plans/기반시설 관리에 관한 기본계획_제1차.pdf,3434233,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.codil.or.kr/viewDtlConRpt.do?pMetaCode=OTKCRK200496,제2차 여부 재확인 필요,TRUE,164
163,본번,지역문화진흥기본계획,「지역문화진흥법」,제6조제1항,제2차,2020~2024,5년,문화체육관광부,참고,FALSE,,,,계획기간 만료(2024년) — 후속 차수 미확인 · 후속 계획 미수립,https://www.kyeongin.com/article/1767424,"제3차(2025~2029) 미수립 상태 지속. 2026.7 제5기 지역문화협력위 구성, 수립 준비 중",TRUE,165
164,본번,기존시설물 내진보강기본계획,「지진ㆍ화산재해대책법」,제15조제1항,제3단계,2021~2025,5년,행정안전부,확인,TRUE,/plans/기존시설물 내진보강기본계획_제3단계.pdf,18142669,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.korea.kr/news/policyNewsView.do?newsId=148911711,기존 공공시설물 내진보강 기본계획. 5년 주기,TRUE,166
165,본번,지하수관리기본계획,「지하수법」,제6조제1항,제4차,2022~2031,10년,환경부,확인,TRUE,/plans/지하수관리기본계획_제4차.pdf,471860,,수립 후 5년마다 타당성 검토 규정,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156527848,2023.6.23 공고. 10년 주기,TRUE,167
166,본번,국가의 지하안전관리에 관한 기본계획,「지하안전관리에 관한 특별법」,제6조제1항,제2차,2025~2029,5년,국토교통부,확인,FALSE,,,,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95090544,국가지하안전관리 기본계획,TRUE,168
167,본번,직업교육훈련 기본계획,「직업교육훈련 촉진법」,제4조제1항,제1차,2022~,5년,교육부·고용노동부 등 11개 부처,확인,TRUE,/plans/직업교육훈련 기본계획_제1차.pdf,1164132,,,https://www.krivet.re.kr,평생직업교육훈련 혁신방안(2022). 5대 전략·20대 과제·65개 세부과제. 계획기간 표기 미확인,TRUE,169
168,본번,청년정책에 관한 기본계획,「청년기본법」,제8조제1항,제2차,2026~2030,5년,국무조정실,확인,TRUE,/plans/청년정책에 관한 기본계획_제2차.pdf,2001810,,,https://epts.kdi.re.kr/share?cte_seq=82028&dvs=them,제17차 청년정책조정위 확정. 48개 부처 282개 과제,TRUE,170
169,본번,청소년육성에 관한 기본계획,「청소년 기본법」,제13조제1항,제7차,2023~2027,5년,여성가족부,확인,FALSE,,,,,https://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704823,청소년정책기본계획,TRUE,171
170,본번,친환경농어업 육성계획,「친환경농어업 육성 및 유기식품 등의 관리ㆍ지원에 관한 법률」,제7조제1항,제6차,2026~2030,5년,농림축산식품부,확인,FALSE,,,,,https://www.korea.kr/news/policyNewsView.do?newsId=148957256,친환경농업 육성 5개년 계획,TRUE,172
171,본번,토양보전에 관한 기본계획,「토양환경보전법」,제4조제1항,제2차,2020~2029,10년,환경부,확인,TRUE,/plans/토양보전에 관한 기본계획_제2차.pdf,4913132,,1차 조사값 정정,https://me.go.kr/home/web/policy_data/read.do?menuId=10263&seq=7478,10년 주기. 직전은 토양보전기본계획(2010~2019). ※1차 조사의 '제5차'는 오기,TRUE,173
172,본번,평생교육진흥기본계획,「평생교육법」,제9조제1항,제5차,2023~2027,5년,교육부,확인,TRUE,/plans/평생교육진흥기본계획_제5차.pdf,183581,,,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156545201,,TRUE,174
173,본번,하수도정비기본계획,「하수도법」,제5조제1항,,,20년,시장·군수,해당없음,TRUE,/plans/하수도정비기본계획.pdf,1522205,,국가계획이 아니라 지자체가 개별 수립,,하수도법상 지자체 수립,TRUE,175
